Date,Fatalities,Wounded
3/27/1990,0,1.0
5/20/1990,1,
8/26/1990,1,
9/11/1990,0,3.0
1/8/1991,0,
2/6/1991,1,0.0
4/23/1991,1,
4/23/1991,1,0.0
9/18/1991,1,
9/18/1991,1,0.0
10/8/1991,1,
11/1/1991,5,
11/1/1991,6,1.0
11/14/1991,0,
11/25/1991,1,
11/25/1991,1,0.0
12/12/1991,1,0.0
1/29/1992,0,1.0
2/26/1992,2,
2/26/1992,2,0.0
5/1/1992,4,
5/1/1992,3,10.0
5/14/1992,0,
9/11/1992,0,
10/12/1992,0,
10/12/1992,1,
10/19/1992,0,3.0
11/4/1992,0,11.0
11/10/1992,0,
11/13/1992,1,
11/16/1992,1,
11/20/1992,1,
11/23/1992,0,
12/3/1992,1,
12/14/1992,2,
12/14/1992,2,4.0
1/6/1993,0,1.0
1/8/1993,1,
1/12/1993,1,
1/18/1993,2,
1/18/1993,2,0.0
1/21/1993,1,
2/1/1993,1,
2/1/1993,1,
2/4/1993,1,
2/8/1993,1,
2/8/1993,1,
2/18/1993,1,
2/22/1993,1,
2/22/1993,1,0.0
2/26/1993,0,
3/18/1993,1,
3/25/1993,1,
4/3/1993,1,
4/14/1993,1,
4/15/1993,1,
4/15/1993,1,0.0
4/16/1993,1,
4/26/1993,1,
5/14/1993,1,0.0
5/24/1993,1,
5/24/1993,1,0.0
5/27/1993,1,
7/8/1993,1,
8/31/1993,1,
9/2/1993,1,
9/17/1993,1,4.0
9/18/1993,1,
10/12/1993,1,
10/14/1993,1,
11/1/1993,1,
11/4/1993,1,
11/4/1993,1,
11/4/1993,1,0.0
11/5/1993,1,
11/29/1993,1,
12/1/1993,1,
12/1/1993,1,0.0
12/8/1993,1,
12/17/1993,1,
1/20/1994,0,
1/20/1994,1,
1/24/1994,1,0.0
1/26/1994,1,
1/31/1994,1,
1/31/1994,1,0.0
2/8/1994,1,
2/14/1994,1,
2/18/1994,0,1.0
3/1/1994,2,
3/1/1994,2,0.0
3/15/1994,1,
3/22/1994,0,
3/23/1994,1,
3/25/1994,0,
4/12/1994,1,
4/12/1994,1,0.0
4/13/1994,0,
4/21/1994,1,
4/21/1994,1,0.0
5/2/1994,1,
5/25/1994,4,
7/25/1994,1,
9/7/1994,1,
10/12/1994,1,
10/12/1994,1,1.0
10/17/1994,0,1.0
11/5/1994,1,
11/7/1994,1,
11/7/1994,1,4.0
11/15/1994,1,
12/14/1994,0,1.0
1/5/1995,1,
1/10/1995,0,
1/12/1995,0,
1/12/1995,0,2.0
1/23/1995,1,
1/26/1995,2,
2/2/1995,1,
8/29/1995,1,
9/12/1995,1,
9/14/1995,2,
9/29/1995,1,
9/29/1995,1,0.0
10/12/1995,1,
10/12/1995,2,1.0
11/15/1995,2,
11/15/1995,2,1.0
11/28/1995,1,
1/19/1996,1,
1/19/1996,1,0.0
1/26/1996,1,
2/2/1996,3,
2/2/1996,3,1.0
2/8/1996,1,
2/29/1996,1,1.0
3/11/1996,1,
4/11/1996,1,
6/4/1996,1,
8/15/1996,3,
8/15/1996,3,0.0
8/26/1996,1,
9/17/1996,1,
9/17/1996,1,2.0
9/25/1996,1,
9/25/1996,1,2.0
10/2/1996,2,
10/4/1996,1,
10/9/1996,1,0.0
10/13/1996,1,
10/16/1996,1,
11/27/1996,1,
1/11/1997,1,
1/27/1997,1,
1/27/1997,1,0.0
1/31/1997,1,
2/19/1997,2,
2/19/1997,2,2.0
2/20/1997,1,
3/18/1997,1,
10/1/1997,3,
10/1/1997,3,7.0
10/14/1997,1,
10/15/1997,0,1.0
10/22/1997,2,
11/13/1997,1,
12/1/1997,3,
12/1/1997,3,5.0
12/15/1997,2,
12/15/1997,0,2.0
2/25/1998,1,
3/1/1998,1,3.0
3/24/1998,5,
3/24/1998,5,10.0
3/25/1998,1,
3/30/1998,0,
4/24/1998,1,
4/24/1998,1,3.0
4/28/1998,2,
5/1/1998,1,
5/19/1998,1,
5/19/1998,1,0.0
5/21/1998,4,
5/21/1998,1,
5/21/1998,4,23.0
5/27/1998,0,
5/29/1998,2,
6/15/1998,0,
6/15/1998,0,2.0
9/4/1998,2,
9/12/1998,0,
12/10/1998,1,
12/10/1998,1,0.0
1/8/1999,2,
1/8/1999,1,1.0
